estado,materia,inspeccion,operativo
Aguascalientes,Recursos marinos,0,0
Baja California,Recursos marinos,0,3
Baja California Sur,Recursos marinos,19,20
Campeche,Recursos marinos,7,5
Chiapas,Recursos marinos,2,0
Chihuahua,Recursos marinos,0,0
Coahuila,Recursos marinos,0,0
Colima,Recursos marinos,3,2
Durango,Recursos marinos,0,0
Guanajuato,Recursos marinos,0,0
Guerrero,Recursos marinos,4,0
Hidalgo,Recursos marinos,0,0
Jalisco,Recursos marinos,1,0
México,Recursos marinos,0,0
Michoacán,Recursos marinos,4,3
Morelos,Recursos marinos,0,0
Nayarit,Recursos marinos,0,1
Nuevo León,Recursos marinos,0,0
Oaxaca,Recursos marinos,0,5
Puebla,Recursos marinos,0,0
Querétaro,Recursos marinos,0,0
Quintana Roo,Recursos marinos,1,1
San Luis Potosí,Recursos marinos,0,0
Sinaloa,Recursos marinos,3,2
Sonora,Recursos marinos,0,8
Tabasco,Recursos marinos,0,0
Tamaulipas,Recursos marinos,3,0
Tlaxcala,Recursos marinos,0,0
Veracruz,Recursos marinos,0,0
Yucatán,Recursos marinos,6,4
Zacatecas,Recursos marinos,0,0
Zona Metropolitana del Valle de México,Recursos marinos,0,0
Oficinas Centrales,Recursos marinos,6,0
Aguascalientes,Vida silvestre,13,4
Baja California,Vida silvestre,52,8
Baja California Sur,Vida silvestre,18,1
Campeche,Vida silvestre,15,3
Chiapas,Vida silvestre,32,0
Chihuahua,Vida silvestre,10,0
Coahuila,Vida silvestre,12,3
Colima,Vida silvestre,6,1
Durango,Vida silvestre,11,5
Guanajuato,Vida silvestre,32,0
Guerrero,Vida silvestre,4,3
Hidalgo,Vida silvestre,26,7
Jalisco,Vida silvestre,27,4
México,Vida silvestre,20,3
Michoacán,Vida silvestre,50,3
Morelos,Vida silvestre,19,3
Nayarit,Vida silvestre,4,4
Nuevo León,Vida silvestre,18,0
Oaxaca,Vida silvestre,31,3
Puebla,Vida silvestre,16,2
Querétaro,Vida silvestre,17,2
Quintana Roo,Vida silvestre,10,4
San Luis Potosí,Vida silvestre,58,7
Sinaloa,Vida silvestre,8,7
Sonora,Vida silvestre,19,7
Tabasco,Vida silvestre,7,2
Tamaulipas,Vida silvestre,12,1
Tlaxcala,Vida silvestre,5,2
Veracruz,Vida silvestre,42,10
Yucatán,Vida silvestre,48,9
Zacatecas,Vida silvestre,15,2
Zona Metropolitana del Valle de México,Vida silvestre,258,10
Oficinas Centrales,Vida silvestre,53,3
