no,entidad_federativa,anio_ocurrencia_evento,boletin_prensa,fecha_emision_boletin_prensa,tipo_fenomeno,amenaza_natural,instancia_corroboradora,nombre_municipios_corroborados,numero_municipios_corroborados,oficio_poblacion_afectada,poblacion_afectada,poblacion_atendida,fecha_publicacion_declaratoria_dof,publicacion_dof,instancia_que_elaboro_informe_utilizacion_insumos,boletin_prensa_aviso_termino_emergencia,fecha_emision_boletin_prensa_termino_situacion_emergencia,fecha_publicacion_aviso_termino_declaratoria_dof,publicacion_termino_dof,total_insumos_autorizados,despensas,despensa_sobrevivencia,despensa_mantenimiento,alimentos_consumo_inmediato,fruta_para_poblacion,alimento_granel,cobertor_a,cobertor_b,colchoneta,hamaca,lamina_tipo_a,lamina_tipo_b,lamina_tipo_c,palma_sintetica,palma_natural,litros_agua,kit_limpieza,kit_aseo_personal,costales,saco_absorbente,impermeables,botas,rollos_hule,guantes_carnaza,toallas_sanitarias_femeninas,banieras_para_bebe,panial_etapa_5,panial_etapa_4,panial_etapa_3,panial_etapa_2,panial_etapa_1,panial_para_adulto,linternas,palas,marros,barretas,machetes,martillos,carretillas,cascos,azadones,hachas,zapapicos,motosierras,mochilas_aspersores,mascarillas,cocinas_comunitarias,servicios_potabilizadoras_agua,servicio_bombas_extraccion_agua,servicio_retroexcavadoras,servicio_vactors,envases_agua,combustible,fletes,servicio_letrinas,servicio_regaderas,arrendamiento_montacargas,arrendamiento_generadores_energia,lote_insumos_para_salud,costo_fuerzas_armadas,costo_estimado_sspc,costo_total_declaratoria,observaciones
1.0,Veracruz,2018,006/18,07-dic-18,Hidrometeorológico,Lluvia severa e inundación pluvial del 04 al 06 de diciembre de 2018,CONAGUA,"Angel R. Cabada, Catemaco, Hueyapan de Ocampo, San Andrés Tuxtla, Santiago Tuxtla y Saltabarranca",6,DGPC/DAE/042/2018,13732,13732,17-dic-18,https://www.dof.gob.mx/nota_detalle.php?codigo=5546651&fecha=17/12/2018#gsc.tab=0,Coordinación Estatal de Protección Civil,011/18,17-dic-18,26-dic-18,https://www.dof.gob.mx/nota_detalle.php?codigo=5547212&fecha=26/12/2018#gsc.tab=0,85678,10299,0,0,0,0,0,13732,0,13732,0,0,0.0,0,0,0,37616,3433,3433,0,3433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$12,274,813.19","$12,274,813.19",
2.0,Veracruz,2018,009/18,13-dic-18,Hidrometeorológico,Lluvia severa el 5 de diciembre de 2018,CONAGUA,Lerdo de Tejada y Playa Vicente,2,DGPC/DAE/045/2018,4042,4042,21-dic-18,https://www.dof.gob.mx/nota_detalle.php?codigo=5547057&fecha=21/12/2018#gsc.tab=0,Coordinación Estatal de Protección Civil,024/18,23-dic-18,02-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547548&fecha=02/01/2019#gsc.tab=0,10240,720,0,0,0,0,0,2880,0,2880,0,0,0.0,0,0,0,1600,720,720,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$1,954,087.62","$1,954,087.62",
3.0,Chihuahua,2018,014/18,21-dic-18,Hidrometeorológico,Helada severa a partir del día 21 de diciembre de 2018,CONAGUA,"Chínipas, Guazapares, Maguarichi, Temósachic, Urique, Uruachi, Guadalupe y Calvo, Morelos, Moris, Balleza, Batopilas, Bocoyna, Carichí, Guachochi y Nonoava",15,DGPC/1789/2018,24344,24344,02-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547539&fecha=02/01/2019#gsc.tab=0,Coordinación Estatal de Protección Civil,028/18,31-dic-18,09-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547764&fecha=09/01/2019#gsc.tab=0,60860,12172,0,0,0,0,0,24344,0,24344,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$16,181,232.84","$16,181,232.84",
4.0,Durango,2018,015/18,21-dic-18,Hidrometeorológico,Helada severa a partir del día 21 de diciembre de 2018,CONAGUA,"Tamazula, Topia, Tepehuanes, Canelas, Mezquital, Otáez, Pueblo Nuevo y Guanaceví",8,DGPC/1790/2018,14773,14773,02-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547540&fecha=02/01/2019#gsc.tab=0,Coordinación Estatal de Protección Civil,029/18,31-dic-18,09-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547765&fecha=09/01/2019#gsc.tab=0,36933,7386,0,0,0,0,0,14773,0,14773,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1, $-   ,"$15,874,002.29","$15,874,002.29",
5.0,Estado de México,2018,016/18,21-dic-18,Hidrometeorológico,Helada severa a partir del día 21 de diciembre de 2018,CONAGUA,"Villa Victoria, Villa de Allende, San José del Rincón, Ixtapan del Oro, San Felipe del Progreso, Temascaltepec y Donato Guerra",7,DGPC/1791/2018,42777,42777,02-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547541&fecha=02/01/2019#gsc.tab=0,Coordinación Estatal de Protección Civil,030/18,31-dic-18,09-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547766&fecha=09/01/2019#gsc.tab=0,96248,10694,0,0,0,0,0,42777,0,42777,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$24,287,748.39","$24,287,748.39",
6.0,Michoacán,2018,017/18,21-dic-18,Hidrometeorológico,Helada severa a partir del día 21 de diciembre de 2018,CONAGUA,"Tuzantla, Ocampo, Tzitzio, Aporo, Irimbo y Tlalpujahua",6,DGPC/1792/2018,9367,9367,02-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547542&fecha=02/01/2019#gsc.tab=0,Coordinación Estatal de Protección Civil,031/18,31-dic-18,09-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547767&fecha=09/01/2019#gsc.tab=0,21075,2341,0,0,0,0,0,9367,0,9367,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$5,302,236.57","$5,302,236.57",
7.0,Puebla,2018,018/18,21-dic-18,Hidrometeorológico,Helada severa a partir del día 21 de diciembre de 2018,CONAGUA,"Tepeyahualco, Ocotepec, Tlachichuca, Ixtacamaxtitlán, Lafragua y San Nicolás Buenos Aires",6,DGPC/1797/2018,9206,9206,02-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547543&fecha=02/01/2019#gsc.tab=0,Coordinación Estatal de Protección Civil,032/18,31-dic-18,09-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547768&fecha=09/01/2019#gsc.tab=0,20713,2301,0,0,0,0,0,9206,0,9206,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$5,211,191.94","$5,211,191.94",
8.0,San Luis Potosí,2018,019/18,21-dic-18,Hidrometeorológico,Helada severa a partir del día 21 de diciembre de 2018,CONAGUA,"Catorce, Vanegas y Santo Domingo",3,DGPC/1793/2018,2966,2966,02-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547545&fecha=02/01/2019#gsc.tab=0,Coordinación Estatal de Protección Civil,033/18,31-dic-18,09-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547769&fecha=09/01/2019#gsc.tab=0,6673,741,0,0,0,0,0,2966,0,2966,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$1,678,819.05","$1,678,819.05",
9.0,Zacatecas,2018,020/18,21-dic-18,Hidrometeorológico,Helada severa a partir del día 21 de diciembre de 2018,CONAGUA,"El Salvador, Mazapil y Jiménez del Teul",3,DGPC/1794/2018,2511,2511,02-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547547&fecha=02/01/2019#gsc.tab=0,Coordinación Estatal de Protección Civil,036/18,31-dic-18,09-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547772&fecha=09/01/2019#gsc.tab=0,5649,627,0,0,0,0,0,2511,0,2511,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$1,421,155.06","$1,421,155.06",
10.0,Sinaloa,2018,021/18,21-dic-18,Hidrometeorológico,Helada severa a partir del día 21 de diciembre de 2018,CONAGUA,Badiraguato,1,DGPC/1795/2018,3000,3000,02-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547544&fecha=02/01/2019#gsc.tab=0,Coordinación Estatal de Protección Civil,034/18,31-dic-18,09-ene-19,https://www.dof.gob.mx/nota_detalle.php?codigo=5547770&fecha=09/01/2019#gsc.tab=0,6750,750,0,0,0,0,0,3000,0,3000,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$1,698,256.20","$1,698,256.20",
