latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.50738,-69.34267,298.92,0.47,0.64,2026-02-14,0535,N,nominal,2.0NRT,286.87,0.57,N
16.27962,-61.31204,310.4,0.44,0.38,2026-02-14,0535,N,nominal,2.0NRT,291.84,0.59,N
10.41782,-61.48096,306.99,0.4,0.37,2026-02-14,0537,N,nominal,2.0NRT,292,0.69,N
10.4169,-61.48082,307.25,0.4,0.37,2026-02-14,0537,N,nominal,2.0NRT,292.12,1.13,N
10.14039,-60.99238,305.7,0.39,0.36,2026-02-14,0537,N,nominal,2.0NRT,288.26,1.04,N
10.18135,-61.69344,316.41,0.4,0.37,2026-02-14,0537,N,nominal,2.0NRT,290.76,1.92,N
10.17795,-61.69397,312.49,0.4,0.37,2026-02-14,0537,N,nominal,2.0NRT,290.98,1.63,N
10.17739,-61.69028,303.66,0.4,0.37,2026-02-14,0537,N,nominal,2.0NRT,291.26,0.78,N
10.31431,-63.97705,305.18,0.51,0.41,2026-02-14,0537,N,nominal,2.0NRT,291.9,0.88,N
10.31178,-63.9862,316.96,0.51,0.41,2026-02-14,0537,N,nominal,2.0NRT,292.31,2.11,N
10.31047,-63.97724,310.24,0.51,0.41,2026-02-14,0537,N,nominal,2.0NRT,291.25,1.57,N
10.3042,-63.98721,307.8,0.51,0.41,2026-02-14,0537,N,nominal,2.0NRT,292.07,1.24,N
10.18743,-64.11016,314.06,0.51,0.41,2026-02-14,0537,N,nominal,2.0NRT,289.22,1.54,N
10.21127,-64.61258,325.03,0.55,0.42,2026-02-14,0537,N,nominal,2.0NRT,293.5,2.17,N
9.97762,-63.1825,331.39,0.46,0.39,2026-02-14,0537,N,nominal,2.0NRT,291.33,3.34,N
10.40954,-66.79095,309.68,0.5,0.49,2026-02-14,0537,N,nominal,2.0NRT,288.86,1.02,N
9.87435,-63.31228,303.8,0.46,0.39,2026-02-14,0537,N,nominal,2.0NRT,289.01,1.22,N
10.08065,-64.87284,326.02,0.56,0.43,2026-02-14,0537,N,nominal,2.0NRT,293.26,4.68,N
9.85631,-63.34082,299.67,0.46,0.39,2026-02-14,0537,N,nominal,2.0NRT,283.32,0.95,N
10.0756,-64.89472,331.6,0.57,0.43,2026-02-14,0537,N,nominal,2.0NRT,294.14,6.56,N
10.06,-64.87039,310.29,0.56,0.43,2026-02-14,0537,N,nominal,2.0NRT,293.25,2.33,N
10.0582,-64.88661,320.24,0.57,0.43,2026-02-14,0537,N,nominal,2.0NRT,293.38,2.05,N
10.056,-64.87086,324.05,0.56,0.43,2026-02-14,0537,N,nominal,2.0NRT,293.55,2.33,N
10.05385,-64.85544,323.06,0.56,0.43,2026-02-14,0537,N,nominal,2.0NRT,293.51,5.4,N
10.05528,-64.86572,314.38,0.56,0.43,2026-02-14,0537,N,nominal,2.0NRT,293.33,2.33,N
10.05743,-64.86797,329.43,0.56,0.43,2026-02-14,0537,N,nominal,2.0NRT,294.24,5.76,N
10.05592,-64.85773,328.91,0.56,0.43,2026-02-14,0537,N,nominal,2.0NRT,294.13,4.77,N
10.06049,-64.88884,307.76,0.57,0.43,2026-02-14,0537,N,nominal,2.0NRT,292.77,0.92,N
10.05974,-64.88367,306.46,0.56,0.43,2026-02-14,0537,N,nominal,2.0NRT,292.8,0.92,N
10.0582,-64.87322,307,0.56,0.43,2026-02-14,0537,N,nominal,2.0NRT,292.69,1.81,N
10.05651,-64.88939,305.9,0.57,0.43,2026-02-14,0537,N,nominal,2.0NRT,292.68,0.92,N
10.05575,-64.88421,305.68,0.56,0.43,2026-02-14,0537,N,nominal,2.0NRT,292.29,0.92,N
10.29167,-66.68256,307.98,0.49,0.49,2026-02-14,0537,N,nominal,2.0NRT,291.07,1.64,N
10.29614,-66.78091,322.03,0.5,0.49,2026-02-14,0537,N,nominal,2.0NRT,290.46,2.59,N
10.29165,-66.78189,322.68,0.5,0.49,2026-02-14,0537,N,nominal,2.0NRT,289.75,2.59,N
9.77486,-63.27078,329.48,0.46,0.39,2026-02-14,0537,N,nominal,2.0NRT,285.44,2.92,N
9.77424,-63.2666,317.4,0.46,0.39,2026-02-14,0537,N,nominal,2.0NRT,288.97,3.01,N
10.32834,-67.29238,306.58,0.54,0.51,2026-02-14,0537,N,nominal,2.0NRT,288.54,1.22,N
10.32275,-67.28632,300.17,0.54,0.51,2026-02-14,0537,N,nominal,2.0NRT,286.96,1.22,N
9.89098,-64.21657,334.25,0.52,0.41,2026-02-14,0537,N,nominal,2.0NRT,294.01,6.86,N
9.73836,-63.47369,304.24,0.47,0.4,2026-02-14,0537,N,nominal,2.0NRT,277.01,1.13,N
9.73472,-63.47429,334.74,0.47,0.4,2026-02-14,0537,N,nominal,2.0NRT,277.06,5.15,N
