"numcode","ethgrpname","ccode","country","year","gpop","grpropctry","grplang","grpcustom","grpspatialdist","urbanrural","regbase","regbaseprop","trsntlkin","trnspwrkin","sepkin","emig","displace","poldisc","ecdisc","langdisc","adminauto","legisrep","execrep","govrep","polgrieve","econgrieve","culgrieve","kinsup","kinmatsup","kinpolsup","kinmilsup","intracon","protest","region","pct_ctry","miss"
201,"African-Americans",2,"United States of America",2004,37771928,0.129,0,0,2,3,0,0,0,3,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,3,6,12.8999996185303,0
201,"African-Americans",2,"United States of America",2005,38130263,0.129,0,0,2,3,0,0,0,3,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,4,6,12.8999996185303,0
201,"African-Americans",2,"United States of America",2006,38499072,0.129,0,0,2,3,0,0,0,3,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,3,6,12.8999996185303,0
202,"Hispanics",2,"United States of America",2004,43920846,0.15,1,1,2,5,0,0,1,3,0,0,0,1,1,1,0,1,1,0,4,2,2,0,0,0,0,0,3,6,15,0
202,"Hispanics",2,"United States of America",2005,44337515,0.15,1,1,2,5,0,0,1,3,0,0,0,1,1,1,0,1,1,0,4,2,2,0,0,0,0,0,5,6,15,0
202,"Hispanics",2,"United States of America",2006,44766363,0.15,1,1,2,5,0,0,1,3,0,0,0,1,1,1,0,1,1,0,4,2,2,0,0,0,0,0,5,6,15,0
203,"Native Americans",2,"United States of America",2004,2928056,0.01,1,1,1,2,0,0,1,1,1,0,0,1,1,0,1,1,0,0,3,2,1,0,0,0,0,0,1,6,1,0
203,"Native Americans",2,"United States of America",2005,2955834,0.01,1,1,1,2,0,0,1,1,1,0,0,1,1,0,1,0,0,0,3,2,1,0,0,0,0,0,1,6,1,0
203,"Native Americans",2,"United States of America",2006,2984424,0.01,1,1,1,2,0,0,1,1,1,0,0,1,1,0,1,0,0,0,3,2,1,0,0,0,0,0,1,6,1,0
204,"Native Hawaiians",2,"United States of America",2004,409928,0.0014,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,1,6,0.140000000596046,0
